group,cpu_pct,ram_pct,ram_gb
2_cams,26.994,6.327,7.94
2_cams,30.186,6.341,7.957
2_cams,25.706,6.352,7.971
2_cams,27.167,6.348,7.966
2_cams,30.367,6.459,8.105
2_cams,32.243,6.454,8.099
2_cams,31.059,6.442,8.085
2_cams,30.297,6.466,8.114
2_cams,28.837,6.469,8.118
2_cams,28.909,6.454,8.099
2_cams,25.276,6.466,8.114
2_cams,23.944,6.469,8.118
2_cams,22.624,6.437,8.077
2_cams,24.459,6.425,8.063
2_cams,23.944,6.443,8.085
2_cams,22.446,6.429,8.068
2_cams,21.597,6.427,8.065
2_cams,25.816,6.442,8.084
2_cams,21.982,6.43,8.069
2_cams,22.317,6.417,8.053
2_cams,21.569,6.436,8.076
2_cams,22.636,6.44,8.081
2_cams,22.652,6.467,8.115
2_cams,21.82,6.464,8.112
2_cams,23.116,6.456,8.101
2_cams,24.384,6.462,8.109
2_cams,21.886,6.504,8.162
2_cams,21.921,6.709,8.419
2_cams,23.061,6.546,8.214
2_cams,18.086,6.545,8.214
2_cams,18.794,6.525,8.188
2_cams,19.155,6.53,8.195
2_cams,20.05,6.531,8.195
2_cams,20.994,6.529,8.193
2_cams,21.702,6.517,8.178
2_cams,21.087,6.519,8.181
2_cams,19.92,6.526,8.189
2_cams,19.869,6.538,8.205
2_cams,19.97,6.529,8.193
2_cams,21.461,6.539,8.206
2_cams,19.728,6.533,8.198
2_cams,20.242,6.493,8.148
2_cams,21.156,6.513,8.173
2_cams,21.691,6.508,8.167
2_cams,22.2,6.511,8.17
2_cams,23.5,6.52,8.181
2_cams,20.573,6.5,8.156
2_cams,20.504,6.492,8.146
2_cams,20.957,6.471,8.12
2_cams,21.227,6.481,8.133
2_cams,21.209,6.48,8.132
2_cams,20.846,6.463,8.111
2_cams,19.316,6.474,8.124
2_cams,19.227,6.487,8.14
2_cams,20.292,6.488,8.141
2_cams,20.905,6.474,8.124
2_cams,21.547,6.462,8.109
2_cams,21.853,6.462,8.109
2_cams,23.05,6.461,8.108
2_cams,21.393,6.443,8.086
2_cams,20.704,6.458,8.104
2_cams,20.483,6.485,8.137
2_cams,22.771,6.474,8.124
2_cams,21.54,6.489,8.142
2_cams,21.776,6.482,8.134
2_cams,22.396,6.47,8.119
2_cams,22.887,6.484,8.137
2_cams,20.545,6.498,8.154
2_cams,24.975,6.5,8.157
2_cams,25.943,6.494,8.149
2_cams,24.472,6.493,8.148
2_cams,20.342,6.527,8.19
2_cams,18.401,6.523,8.186
2_cams,19.567,6.515,8.175
2_cams,26.811,6.501,8.158
2_cams,25.879,6.49,8.144
2_cams,25.529,6.481,8.132
2_cams,28.026,6.515,8.176
2_cams,27.73,6.494,8.15
2_cams,22.586,6.477,8.128
2_cams,23.112,6.467,8.116
2_cams,22.496,6.483,8.135
2_cams,22.071,6.495,8.151
2_cams,22.026,6.496,8.152
2_cams,21.217,6.499,8.155
2_cams,20.714,6.506,8.165
2_cams,19.759,6.481,8.133
2_cams,21.982,6.468,8.117
2_cams,23.038,6.495,8.15
2_cams,21.781,6.48,8.132
2_cams,21.368,6.461,8.108
2_cams,24.598,6.451,8.096
2_cams,23.68,6.455,8.101
2_cams,24.862,6.468,8.117
2_cams,27.482,6.468,8.117
2_cams,24.61,6.494,8.149
2_cams,20.221,6.51,8.169
2_cams,21.357,6.486,8.139
2_cams,20.693,6.482,8.134
2_cams,22.736,6.475,8.126
2_cams,22.732,6.445,8.088
2_cams,21.156,6.46,8.107
2_cams,21.429,6.461,8.108
2_cams,19.457,6.482,8.134
2_cams,17.985,6.477,8.128
2_cams,23.275,6.468,8.116
2_cams,22.306,6.467,8.116
2_cams,23.263,6.462,8.11
2_cams,22.659,6.478,8.13
2_cams,23.355,6.479,8.13
2_cams,20.817,6.49,8.144
2_cams,23.577,6.489,8.142
2_cams,18.433,6.483,8.136
2_cams,19.395,6.47,8.12
2_cams,21.536,6.479,8.13
2_cams,23.104,6.484,8.136
2_cams,20.605,6.469,8.118
2_cams,22.205,6.449,8.092
